step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,73,1,0.11559439452934184,0.0,0.0,0.08918956453213468,0.0,0.0,,,,,,
2,138,2,0.11543450269498862,0.0,0.0,,,,,,,,,
3,155,3,0.320026830334682,0.0,0.0,,,,,,,,,
4,180,4,0.18094991781748831,0.0,0.0,,,,,,,,,
5,237,5,0.0610077216609248,1.0,1.0,,,,,,,,,
6,270,6,0.050106898583471775,1.0,1.0,,,,,,,,,
7,311,7,0.09382452218420806,0.0,0.0,,,,,,,,,
8,392,8,0.0601817345051677,0.0,0.0,,,,,,,,,
9,417,9,0.05530773489425579,1.0,1.0,0.03150376916901829,1.0,1.0,,,,,,
10,506,10,0.03264178011618986,1.0,1.0,,,,,,,,,
11,611,11,0.030952540856983086,1.0,1.0,,,,,,,,,
12,684,12,0.03029761375238498,1.0,1.0,,,,,,,,,
13,789,13,0.030423986662958324,1.0,1.0,,,,,,,,,
14,854,14,0.10639326812073704,0.0,0.0,,,,,,,,,
15,879,15,0.18820807638422893,0.0,0.0,,,,,,,,,
16,896,16,0.04354465328156948,1.0,1.0,,,,,,,,,
17,961,17,0.03474620899403817,1.0,1.0,0.046011172369588176,1.0,1.0,,,,,,
18,1018,18,0.03540406318574761,1.0,1.0,,,,,,,,,
19,1043,19,0.084116616298755,0.0,0.0,,,,,,,,,
20,1116,20,0.03665414861025056,0.0,0.0,,,,,,,,,
21,1229,21,0.02516113171694867,1.0,1.0,,,,,,,,,
22,1294,22,0.028697959304845425,1.0,1.0,,,,,,,,,
23,1407,23,0.02614263423864031,1.0,1.0,,,,,,,,,
24,1456,24,0.07062663102522493,0.0,0.0,,,,,,,,,
25,1505,25,0.026523085810864964,1.0,1.0,0.02605651557833577,1.0,1.0,,,,,,
26,1554,26,0.02556566516092668,1.0,1.0,,,,,,,,,
27,1595,27,0.031620916050858795,1.0,1.0,,,,,,,,,
28,1660,28,0.06295777206076308,0.0,0.0,,,,,,,,,
29,1733,29,0.028062223499226897,1.0,1.0,,,,,,,,,
30,1830,30,0.045689026817659996,0.0,0.0,,,,,,,,,
31,1855,31,0.03461776066571474,1.0,1.0,,,,,,,,,
32,1896,32,0.03596081330440939,1.0,1.0,,,,,,,,,
33,1969,33,0.024005971344368944,1.0,1.0,0.02962196340518338,1.0,1.0,,,,,,
34,1994,34,0.10485107488930225,0.0,0.0,,,,,,,,,
35,2019,35,0.039651333925624685,1.0,1.0,,,,,,,,,
36,2100,36,0.02351190683981986,1.0,1.0,,,,,,,,,
37,2149,37,0.030801874844667815,1.0,1.0,,,,,,,,,
38,2214,38,0.034093865012982866,1.0,1.0,,,,,,,,,
39,2311,39,0.03198526693765112,1.0,1.0,,,,,,,,,
40,2368,40,0.0313210397214529,1.0,1.0,,,,,,,,,
41,2425,41,0.032556649295480126,1.0,1.0,0.04556550066201733,0.0,0.0,,,,,,
42,2466,42,0.036369109924882646,1.0,1.0,,,,,,,,,
43,2523,43,0.02873084629486714,1.0,1.0,,,,,,,,,
44,2548,44,0.04099845940247178,1.0,1.0,,,,,,,,,
45,2629,45,0.05022244358761237,0.0,0.0,,,,,,,,,
46,2646,46,0.0964598894235678,0.0,0.0,,,,,,,,,
47,2711,47,0.03910773788142251,0.0,0.0,,,,,,,,,
48,2784,48,0.03777461908447245,0.0,0.0,,,,,,,,,
49,2865,49,0.028284470836166295,1.0,1.0,0.08162869668177639,0.0,0.0,,,,,,
50,2954,50,0.025919448969547045,1.0,1.0,,,,,,,,,
51,3011,51,0.07058716743481845,0.0,0.0,,,,,,,,,
52,3052,52,0.0998473990149796,0.0,0.0,,,,,,,,,
53,3141,53,0.041984583463477484,0.0,0.0,,,,,,,,,
54,3182,54,0.03570426274253987,1.0,1.0,,,,,,,,,
55,3239,55,0.03284495170768683,1.0,1.0,,,,,,,,,
56,3312,56,0.02973910915044447,1.0,1.0,,,,,,,,,
57,3385,57,0.02534295212095862,1.0,1.0,0.0255317851313157,1.0,1.0,,,,,,
58,3426,58,0.03229871263168752,1.0,1.0,,,,,,,,,
59,3491,59,0.0391193485601434,0.0,0.0,,,,,,,,,
60,3516,60,0.09328819192790735,0.0,0.0,,,,,,,,,
61,3557,61,0.029688880240544682,1.0,1.0,,,,,,,,,
