step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,89,1,0.09667717238263734,0.0,0.0,0.10181287064658068,0.0,0.0,,,,,,
2,154,2,0.12889621927810369,0.0,0.0,,,,,,,,,
3,203,3,0.1483462158543989,0.0,0.0,,,,,,,,,
4,276,4,0.10880088318811937,0.0,0.0,,,,,,,,,
5,341,5,0.08590491920418572,0.0,0.0,,,,,,,,,
6,382,6,0.10882843122398483,0.0,0.0,,,,,,,,,
7,423,7,0.06745293115777895,0.0,0.0,,,,,,,,,
8,448,8,0.11087598362083857,0.0,0.0,,,,,,,,,
9,529,9,0.0363586315549328,0.0,0.0,0.0490389908477664,1.0,1.0,,,,,,
10,650,10,0.021016013951700493,1.0,1.0,,,,,,,,,
11,691,11,0.04424157804250717,0.0,0.0,,,,,,,,,
12,764,12,0.031191224901251393,1.0,1.0,,,,,,,,,
13,813,13,0.03564661810744535,0.0,0.0,,,,,,,,,
14,846,14,0.04250203568022698,1.0,1.0,,,,,,,,,
15,935,15,0.019449970673833215,1.0,1.0,,,,,,,,,
16,952,16,0.08899195830803365,0.0,0.0,,,,,,,,,
17,977,17,0.034496870071937635,1.0,1.0,0.07216587440886844,0.0,0.0,,,,,,
18,1034,18,0.03164639645888071,1.0,1.0,,,,,,,,,
19,1091,19,0.07135357543591193,0.0,0.0,,,,,,,,,
20,1132,20,0.07091917628375814,0.0,0.0,,,,,,,,,
21,1213,21,0.04327580644603586,0.0,0.0,,,,,,,,,
22,1238,22,0.05628226845680426,1.0,1.0,,,,,,,,,
23,1295,23,0.02727813116338179,1.0,1.0,,,,,,,,,
24,1336,24,0.03114096586662345,1.0,1.0,,,,,,,,,
25,1361,25,0.1336155526774625,0.0,0.0,0.023912242292426528,1.0,1.0,,,,,,
26,1378,26,0.14810029286891221,0.0,0.0,,,,,,,,,
27,1403,27,0.02524587471426154,1.0,1.0,,,,,,,,,
28,1452,28,0.023182584991057714,1.0,1.0,,,,,,,,,
29,1533,29,0.036646170537453136,0.0,0.0,,,,,,,,,
30,1606,30,0.0590088629154747,0.0,0.0,,,,,,,,,
31,1671,31,0.04340680501234601,0.0,0.0,,,,,,,,,
32,1784,32,0.025360938147704085,0.0,0.0,,,,,,,,,
33,1889,33,0.02130106731938073,0.0,0.0,0.02784272496679073,1.0,1.0,,,,,,
34,1986,34,0.026379501224776808,1.0,1.0,,,,,,,,,
35,2035,35,0.030518583858744626,1.0,1.0,,,,,,,,,
36,2124,36,0.029629471897761418,1.0,1.0,,,,,,,,,
37,2197,37,0.02816676718739068,1.0,1.0,,,,,,,,,
38,2214,38,0.08548669796902686,0.0,0.0,,,,,,,,,
39,2271,39,0.030132947321981192,1.0,1.0,,,,,,,,,
40,2408,40,0.0277583359964346,1.0,1.0,,,,,,,,,
41,2465,41,0.03245194401159616,1.0,1.0,0.030232776648534295,0.0,0.0,,,,,,
42,2530,42,0.03883660092949868,0.0,0.0,,,,,,,,,
43,2611,43,0.02056214784446638,1.0,1.0,,,,,,,,,
44,2644,44,0.03950836710631848,1.0,1.0,,,,,,,,,
45,2669,45,0.06558336917902731,0.0,0.0,,,,,,,,,
46,2726,46,0.02457437357208359,1.0,1.0,,,,,,,,,
47,2815,47,0.03764882634690201,0.0,0.0,,,,,,,,,
48,2864,48,0.039066284405222786,0.0,0.0,,,,,,,,,
49,2921,49,0.03533596875121085,1.0,1.0,0.026186249291164462,1.0,1.0,,,,,,
50,2986,50,0.031304373583334384,1.0,1.0,,,,,,,,,
51,3051,51,0.030373825255178417,1.0,1.0,,,,,,,,,
52,3140,52,0.025302977324119475,1.0,1.0,,,,,,,,,
53,3229,53,0.025824501274830915,1.0,1.0,,,,,,,,,
54,3310,54,0.022045705951168205,1.0,1.0,,,,,,,,,
55,3359,55,0.0228913038635316,1.0,1.0,,,,,,,,,
56,3416,56,0.021628660298800763,1.0,1.0,,,,,,,,,
57,3497,57,0.04047578279452864,0.0,0.0,0.027958287846995524,1.0,1.0,,,,,,
58,3578,58,0.023235519450943685,1.0,1.0,,,,,,,,,
59,3683,59,0.020590068390637706,1.0,1.0,,,,,,,,,
60,3740,60,0.03153109555772971,1.0,1.0,,,,,,,,,
61,3797,61,0.02310601001785212,1.0,1.0,,,,,,,,,
62,3822,62,0.030269483563800652,1.0,1.0,,,,,,,,,
63,3903,63,0.02172362429270288,1.0,1.0,,,,,,,,,
64,3952,64,0.031007989009861674,1.0,1.0,,,,,,,,,
65,4009,65,0.023839376174977847,1.0,1.0,0.021144721963695094,1.0,1.0,,,,,,
66,4074,66,0.021329030206397877,1.0,1.0,,,,,,,,,
67,4099,67,0.025026183299099405,1.0,1.0,,,,,,,,,
68,4172,68,0.018456445564677574,1.0,1.0,,,,,,,,,
69,4221,69,0.019875960269976834,1.0,1.0,,,,,,,,,
70,4262,70,0.03800728069618345,1.0,1.0,,,,,,,,,
71,4311,71,0.024294653388982016,1.0,1.0,,,,,,,,,
72,4392,72,0.07318442508298903,0.0,0.0,,,,,,,,,
73,4433,73,0.02113475867547095,1.0,1.0,0.019411619273480032,1.0,1.0,,,,,,
74,4514,74,0.05719289725786075,0.0,0.0,,,,,,,,,
75,4587,75,0.04164834315390585,0.0,0.0,,,,,,,,,
76,4724,76,0.03304155164923299,0.0,0.0,,,,,,,,,
77,4789,77,0.019918614076741503,1.0,1.0,,,,,,,,,
78,4814,78,0.025040201827262843,1.0,1.0,,,,,,,,,
79,4879,79,0.024319323353902293,1.0,1.0,,,,,,,,,
