step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,89,1,0.12644630283836952,0.0,0.0,0.15622798422933556,0.0,0.0,,,,,,
2,162,2,0.19355107343070105,0.0,0.0,,,,,,,,,
3,235,3,0.13781443891296574,0.0,0.0,,,,,,,,,
4,308,4,0.12202204060236302,0.0,0.0,,,,,,,,,
5,357,5,0.17211276715660154,0.0,0.0,,,,,,,,,
6,422,6,0.14189280282007533,0.0,0.0,,,,,,,,,
7,487,7,0.09702823683379393,0.0,0.0,,,,,,,,,
8,616,8,0.09394355629272468,0.0,0.0,,,,,,,,,
9,657,9,0.09357304604537786,0.0,0.0,0.10032181532846556,0.0,0.0,,,,,,
10,706,10,0.04134387113755414,1.0,1.0,,,,,,,,,
11,763,11,0.05199423907041949,0.0,0.0,,,,,,,,,
12,844,12,0.0329211766901426,1.0,1.0,,,,,,,,,
13,917,13,0.06079234847902423,0.0,0.0,,,,,,,,,
14,1062,14,0.033514574244101016,1.0,1.0,,,,,,,,,
15,1159,15,0.0466376628827614,0.0,0.0,,,,,,,,,
16,1232,16,0.04240112730508877,0.0,0.0,,,,,,,,,
17,1313,17,0.05095455486513675,0.0,0.0,0.044370743153350684,0.0,0.0,,,,,,
18,1394,18,0.03645196580607444,1.0,1.0,,,,,,,,,
19,1475,19,0.042431754552759236,1.0,1.0,,,,,,,,,
20,1532,20,0.0321982991695404,1.0,1.0,,,,,,,,,
21,1597,21,0.02632102448667865,1.0,1.0,,,,,,,,,
22,1678,22,0.03618238346534781,0.0,0.0,,,,,,,,,
23,1799,23,0.04482182104807968,0.0,0.0,,,,,,,,,
24,1880,24,0.0377816837001592,1.0,1.0,,,,,,,,,
25,1921,25,0.06600840801745654,0.0,0.0,0.04071009370653579,1.0,1.0,,,,,,
26,1994,26,0.026684558073369162,1.0,1.0,,,,,,,,,
27,2075,27,0.0283400080697611,1.0,1.0,,,,,,,,,
28,2204,28,0.02077080489256332,1.0,1.0,,,,,,,,,
29,2261,29,0.039959578548535185,0.0,0.0,,,,,,,,,
30,2318,30,0.03435623903792085,0.0,0.0,,,,,,,,,
31,2391,31,0.026803115447336393,1.0,1.0,,,,,,,,,
32,2456,32,0.028569437675332668,1.0,1.0,,,,,,,,,
33,2545,33,0.02759069335287098,1.0,1.0,0.02883882748037909,1.0,1.0,,,,,,
34,2650,34,0.02768481895291748,0.0,0.0,,,,,,,,,
35,2707,35,0.030258595406942597,1.0,1.0,,,,,,,,,
36,2764,36,0.047491294346650004,0.0,0.0,,,,,,,,,
37,2861,37,0.02585242199139126,1.0,1.0,,,,,,,,,
38,2902,38,0.04741169098764658,1.0,1.0,,,,,,,,,
39,2983,39,0.025033414042438386,1.0,1.0,,,,,,,,,
40,3056,40,0.028336843179357755,1.0,1.0,,,,,,,,,
41,3105,41,0.03378895192222747,1.0,1.0,0.030553637013737374,1.0,1.0,,,,,,
42,3178,42,0.030080388353801227,1.0,1.0,,,,,,,,,
43,3251,43,0.026576500543548414,1.0,1.0,,,,,,,,,
44,3316,44,0.01887933481804794,1.0,1.0,,,,,,,,,
45,3405,45,0.03171023582384805,0.0,0.0,,,,,,,,,
46,3486,46,0.020854299255181105,1.0,1.0,,,,,,,,,
47,3615,47,0.025197740958246867,1.0,1.0,,,,,,,,,
48,3640,48,0.046947816549800334,1.0,1.0,,,,,,,,,
49,3713,49,0.01969334440014791,1.0,1.0,0.03170079740782966,1.0,1.0,,,,,,
50,3778,50,0.03769260903362011,0.0,0.0,,,,,,,,,
51,3835,51,0.02019388532540428,1.0,1.0,,,,,,,,,
52,3860,52,0.02600720980980744,1.0,1.0,,,,,,,,,
53,3925,53,0.028358759465045298,1.0,1.0,,,,,,,,,
54,3998,54,0.02469609174360004,1.0,1.0,,,,,,,,,
55,4071,55,0.018730973831326183,1.0,1.0,,,,,,,,,
56,4160,56,0.024876676453039346,1.0,1.0,,,,,,,,,
57,4217,57,0.026188660289293956,1.0,1.0,0.01715744323427013,1.0,1.0,,,,,,
58,4282,58,0.01785546224161408,1.0,1.0,,,,,,,,,
59,4339,59,0.018607411084833853,1.0,1.0,,,,,,,,,
60,4388,60,0.04441787723422748,0.0,0.0,,,,,,,,,
61,4477,61,0.03187494867190253,1.0,1.0,,,,,,,,,
62,4558,62,0.01857356086157961,1.0,1.0,,,,,,,,,
63,4631,63,0.029161053772808778,1.0,1.0,,,,,,,,,
64,4696,64,0.018784899712572953,1.0,1.0,,,,,,,,,
65,4745,65,0.01587455109091631,1.0,1.0,0.018479393863817674,1.0,1.0,,,,,,
66,4826,66,0.01952425106673036,1.0,1.0,,,,,,,,,
67,4883,67,0.01444083027707945,1.0,1.0,,,,,,,,,
68,4948,68,0.02162795435398948,1.0,1.0,,,,,,,,,
69,5005,69,0.027823885900434102,1.0,1.0,,,,,,,,,
70,5078,70,0.02167084618587978,1.0,1.0,,,,,,,,,
71,5159,71,0.09929738126078157,0.0,0.0,,,,,,,,,
72,5216,72,0.02009564831919436,1.0,1.0,,,,,,,,,
73,5305,73,0.018457638633209917,1.0,1.0,0.01885178761923453,1.0,1.0,,,,,,
74,5394,74,0.019658714094495572,1.0,1.0,,,,,,,,,
75,5443,75,0.024619976800944035,1.0,1.0,,,,,,,,,
76,5524,76,0.0223574577117397,1.0,1.0,,,,,,,,,
77,5541,77,0.34218952562194316,0.0,0.0,,,,,,,,,
